timestep,episode_return,h_max,h_mean,v_max,goal_reached,ep_length
50000,-3515.937,0.2005,-0.0382,28.284,0,500
100000,-4805.219,0.4038,-0.0466,28.284,0,500
150000,-5055.198,0.4005,-0.0501,28.284,0,500
200000,-2469.959,0.4526,-0.0523,23.877,0,500
250000,2563.017,0.4529,0.0651,28.284,0,500
300000,-2248.755,0.3915,-0.0536,18.668,0,500
350000,-4422.07,0.4855,-0.044,14.578,0,500
400000,2373.267,0.4856,0.0597,28.284,0,500
450000,-4449.419,0.474,-0.0438,14.648,0,500
500000,2332.197,0.4742,0.0577,28.284,0,500
550000,-4429.682,0.4015,-0.0463,13.161,0,500
600000,4137.414,0.2328,0.0665,28.284,0,500
650000,-2164.827,0.0179,-0.0582,28.284,0,500
700000,-1334.55,0.3261,0.0131,15.811,0,500
750000,-4263.215,0.405,-0.0445,7.871,0,500
800000,4128.222,0.1757,0.0617,28.284,0,500
850000,-4469.117,0.4926,-0.047,13.105,0,500
900000,2417.511,0.4928,0.0538,16.111,0,500
950000,-2950.415,0.2513,-0.0714,27.817,0,500
1000000,-4336.241,0.4022,-0.0448,11.72,0,500
1050000,-62.902,0.2173,0.0289,23.368,0,500
1100000,-2215.649,0.3983,-0.05,16.172,0,500
1150000,-3518.047,0.0945,-0.0407,21.015,0,500
1200000,-3263.353,0.0949,-0.0368,20.361,0,500
1250000,-2151.232,0.3975,-0.0507,16.623,0,500
1300000,-4573.866,0.402,-0.0492,16.206,0,500
1350000,-2191.721,0.3966,-0.0513,16.846,0,500
1400000,-3222.523,0.399,-0.0505,16.719,0,500
1450000,-4585.687,0.4021,-0.049,16.316,0,500
1500000,-4457.789,0.4978,-0.0451,15.928,0,500
1550000,887.048,0.4978,0.0369,6.775,0,500
1600000,-4604.087,0.4024,-0.0478,16.806,0,500
1650000,-3168.059,0.0694,-0.0323,21.169,0,500
1700000,4118.298,0.0699,0.0628,28.284,0,500
1750000,-2541.877,0.0005,-0.0519,28.284,0,500
1800000,-2201.166,0.398,-0.0507,17.14,0,500
1850000,-4561.572,0.406,-0.046,16.987,0,500
1900000,-2232.265,0.3976,-0.0505,17.666,0,500
1950000,-2607.862,0.0088,-0.0661,28.284,0,500
2000000,-4650.136,0.4022,-0.0489,17.914,0,500
2050000,-2257.682,0.3974,-0.0512,17.34,0,500
2100000,-2255.484,0.3929,-0.0521,17.676,0,500
2150000,-2757.346,0.1742,-0.0702,20.423,0,500
2200000,-2236.9,0.3928,-0.051,17.649,0,500
2250000,3560.731,0.4667,0.0534,28.284,0,500
2300000,3516.762,0.4667,0.0664,9.291,0,500
2350000,-626.302,0.3071,0.0217,11.001,0,500
2400000,-4632.316,0.4011,-0.0485,16.926,0,500
2450000,-4510.401,0.4021,-0.0467,17.102,0,500
2500000,-4714.771,0.3991,-0.0495,17.322,0,500
2550000,2289.475,0.1828,0.0485,28.284,0,500
2600000,-2302.376,0.4923,-0.0526,18.392,0,500
2650000,6819.275,0.4925,0.0426,4.261,0,500
2700000,-4650.312,0.4027,-0.0478,17.458,0,500
2750000,-2711.482,0.1789,-0.0692,24.784,0,500
2800000,648.508,0.2075,0.0453,28.284,0,500
2850000,4148.674,0.208,0.0637,28.284,0,500
2900000,-2697.148,0.1856,-0.0695,24.848,0,500
2950000,-4583.051,0.3993,-0.0491,15.127,0,500
3000000,-2329.135,0.3905,-0.053,16.929,0,500
3050000,-867.061,0.4382,0.0159,3.116,0,500
3100000,3376.952,0.4383,0.0604,11.185,0,500
3150000,-2163.462,0.3975,-0.051,16.316,0,500
3200000,-2175.498,0.3991,-0.0495,15.549,0,500
3250000,716.035,0.0586,0.0453,28.284,0,500
3300000,-4317.23,0.4073,-0.0451,11.602,0,500
3350000,-2265.189,0.3914,-0.0536,17.078,0,500
3400000,-4536.113,0.4038,-0.0464,14.906,0,500
3450000,-2330.298,0.1807,-0.0199,19.837,0,500
3500000,3460.522,0.3749,0.0518,28.284,0,500
3550000,3402.257,0.4902,0.0705,28.284,0,500
3600000,3752.273,0.4902,0.0589,10.174,0,500
3650000,-2753.198,0.0297,-0.0676,28.284,0,500
3700000,-2140.106,0.0437,-0.0555,28.284,0,500
3750000,3938.651,0.0799,0.0592,28.284,0,500
3800000,-4532.833,0.4059,-0.0456,16.293,0,500
3850000,3995.059,0.2633,0.0674,28.284,0,500
3900000,-4604.232,0.4022,-0.0482,16.489,0,500
3950000,-2294.53,0.3861,-0.0538,17.693,0,500
4000000,783.297,0.0619,0.047,28.284,0,500
4050000,-2720.724,0.2562,-0.0713,21.06,0,500
4100000,-2756.693,0.1631,-0.0682,28.284,0,500
4150000,-4496.862,0.403,-0.0466,17.268,0,500
4200000,-4521.247,0.4024,-0.0469,16.505,0,500
4250000,-3497.252,0.3976,-0.0506,16.56,0,500
4300000,-4621.036,0.4016,-0.049,15.723,0,500
4350000,-4584.13,0.4027,-0.0481,16.07,0,500
4400000,-2293.169,0.3827,-0.055,18.48,0,500
4450000,-4606.951,0.402,-0.0491,15.625,0,500
4500000,-4520.186,0.4039,-0.0475,15.08,0,500
4550000,-2177.003,0.4179,-0.0494,16.366,0,500
4600000,-870.26,0.418,0.0158,1.768,0,500
4650000,3594.567,0.3154,0.065,28.284,0,500
