timestep,episode_return,h_max,h_mean,v_max,goal_reached,ep_length
500,-2132.539,0.4978,0.2019,28.284,1,500
1000,-2154.594,0.4997,0.164,28.284,0,500
1500,-1369.798,0.4997,0.1992,28.284,0,500
2000,-779.078,0.4988,0.1893,17.504,0,500
2500,-3507.237,-0.1495,-0.3072,22.862,0,500
3000,-2265.314,0.1923,-0.1426,11.824,0,500
3500,-1613.635,0.4844,-0.0042,11.733,0,500
4000,-1316.636,0.4836,0.1419,27.869,0,500
4500,-2562.164,0.2683,-0.0934,27.88,0,500
5000,-230.627,0.2961,0.2625,8.867,0,500
5500,-375.633,0.4979,0.229,5.037,0,500
6000,-786.253,0.4984,0.1765,7.157,0,500
6500,-429.793,0.4643,0.2528,5.673,0,500
7000,-760.478,0.4542,0.1514,4.211,0,500
7500,-501.304,0.4531,0.2498,8.956,0,500
8000,-351.992,0.4981,0.2324,4.05,0,500
8500,-691.107,0.4982,0.1873,4.604,0,500
9000,-460.67,0.4954,0.2297,2.666,1,500
9500,-1833.475,0.3026,-0.0658,2.888,0,500
10000,-1338.411,0.3966,0.0352,4.586,0,500
10500,-2477.751,0.497,-0.1013,26.017,0,500
11000,-676.831,0.497,0.2016,6.6,0,500
11500,-2857.475,0.479,-0.1598,27.036,0,500
12000,-1024.371,0.4806,0.1276,1.951,0,500
12500,-1116.805,0.4929,0.1263,8.041,0,500
13000,-789.588,0.4953,0.1628,3.649,1,500
13500,-431.965,0.4955,0.2211,2.526,1,500
14000,-1264.234,0.4928,0.0496,3.449,0,500
14500,-509.491,0.4927,0.2181,3.542,0,500
15000,-1016.725,0.4048,0.0962,1.889,0,500
15500,-2437.593,0.4871,-0.1796,7.148,0,500
16000,-406.551,0.4953,0.2387,2.799,0,500
16500,-472.394,0.4957,0.2292,1.844,0,500
17000,-410.691,0.4919,0.236,2.122,1,500
17500,-1114.37,0.4622,0.1151,4.989,0,500
18000,-2010.038,0.2584,-0.0991,5.202,0,500
18500,-3296.29,0.2234,-0.2967,20.765,0,500
19000,-196.839,0.3024,0.2613,4.239,0,500
19500,-2795.029,0.0687,-0.1836,22.513,0,500
20000,-1113.418,0.4861,0.0793,3.417,0,500
20500,-887.675,0.4858,0.145,2.19,0,500
21000,-515.904,0.3853,0.1971,2.827,0,500
21500,-3042.13,0.4877,-0.28,20.311,0,500
22000,-421.105,0.4888,0.2424,1.837,0,500
22500,-2779.383,-0.0923,-0.2534,6.371,0,500
23000,-2618.309,-0.0883,-0.2239,1.757,0,500
23500,-2895.246,-0.2443,-0.2793,1.208,0,500
24000,-2637.837,0.4807,-0.2162,9.073,0,500
24500,-393.548,0.4806,0.2448,1.767,0,500
25000,-2596.255,0.0877,-0.2074,8.884,0,500
25500,-2850.867,0.4938,-0.264,5.732,0,500
26000,-463.924,0.4945,0.231,2.378,0,500
26500,-1334.925,0.4859,0.035,3.616,0,500
27000,-932.731,0.4932,0.143,4.713,0,500
27500,-554.125,0.4936,0.214,1.356,0,500
28000,-2163.29,0.4821,-0.1313,4.196,0,500
28500,-887.015,0.4829,0.1532,4.346,0,500
29000,-1595.94,0.3407,-0.0184,2.397,0,500
29500,-3173.574,0.4983,-0.276,20.013,0,500
30000,-583.609,0.4986,0.1938,2.475,1,500
30500,-406.6,0.4649,0.251,2.82,0,500
31000,-1077.26,0.4996,0.0864,2.691,0,500
31500,-547.425,0.4996,0.2012,4.041,0,500
32000,-1082.337,0.4962,0.1232,6.731,1,500
32500,-438.948,0.4969,0.221,2.422,1,500
33000,-439.498,0.4963,0.2239,4.224,1,500
33500,-1825.399,0.2995,-0.0648,1.876,0,500
34000,-2912.31,0.5,-0.2757,6.089,0,500
34500,-508.868,0.5,0.2008,3.547,1,500
35000,-2088.25,0.4926,-0.1134,4.478,0,500
35500,-765.362,0.4929,0.1628,2.703,1,500
36000,-2285.287,0.4913,-0.1552,4.186,0,500
36500,-780.192,0.4915,0.1605,2.042,1,500
37000,-1027.315,0.4679,0.1253,1.158,0,500
37500,-2647.15,0.4782,-0.2274,3.957,0,500
38000,-984.754,0.4789,0.1298,1.264,0,500
38500,-2795.353,0.4984,-0.2573,2.667,0,500
39000,-586.835,0.4988,0.1984,1.831,1,500
39500,-566.148,0.4987,0.2046,2.866,1,500
40000,-629.684,0.4984,0.1814,2.654,1,500
40500,-577.796,0.4984,0.1987,2.2,0,500
41000,-458.956,0.495,0.2296,3.878,0,500
41500,-2872.49,-0.1169,-0.2702,5.384,0,500
42000,-2896.872,0.4852,-0.2736,5.314,0,500
42500,-904.164,0.486,0.1428,2.125,0,500
43000,-1131.944,0.4794,0.1168,7.084,0,500
43500,-2202.647,0.1884,-0.1393,2.984,0,500
44000,-286.498,0.3351,0.2506,6.746,0,500
44500,-676.212,0.4006,0.1657,2.256,0,500
45000,-379.115,0.3836,0.227,5.998,0,500
45500,-2423.215,0.498,-0.1794,4.815,0,500
46000,-493.201,0.4982,0.2162,2.508,1,500
46500,-2557.882,0.0912,-0.2052,6.693,0,500
47000,-1227.794,0.4001,0.0546,1.907,0,500
47500,-1736.506,0.4982,-0.0427,4.773,0,500
48000,-461.484,0.4987,0.2161,3.616,1,500
48500,-483.32,0.4926,0.2265,3.873,0,500
49000,-399.456,0.4853,0.2538,10.565,0,500
49500,-416.536,0.4859,0.2426,3.701,0,500
50000,-440.716,0.4834,0.2393,3.771,0,500
50500,-989.284,0.4794,0.1299,2.086,0,500
51000,-213.235,0.2966,0.2644,6.22,0,500
51500,-2589.605,0.4853,-0.2141,4.751,0,500
52000,-828.472,0.4855,0.1613,2.509,0,500
52500,-1001.466,0.4839,0.1318,3.176,0,500
53000,-722.112,0.4778,0.1569,1.396,0,500
53500,-449.682,0.4809,0.2413,1.777,0,500
54000,-1014.576,0.4818,0.1297,3.013,0,500
54500,-1212.274,0.4787,0.06,3.391,0,500
55000,-943.851,0.4788,0.1384,2.078,0,500
55500,-175.53,0.4949,0.2803,3.048,0,500
56000,-766.286,0.4949,0.1649,2.362,1,500
56500,-2897.984,0.4994,-0.2744,5.628,1,500
57000,-571.007,0.4994,0.1914,3.386,1,500
57500,-3239.728,0.4855,-0.227,24.611,0,500
58000,-903.575,0.4898,0.1438,1.882,0,500
58500,-771.949,0.4904,0.1748,2.639,0,500
59000,-877.083,0.4907,0.154,2.712,0,500
59500,-896.69,0.4915,0.1536,3.414,0,500
60000,-471.069,0.4921,0.2357,1.766,0,500
60500,-186.062,0.3909,0.2767,5.483,0,500
61000,-161.976,0.4555,0.2801,2.36,0,500
61500,-384.342,0.4559,0.255,3.059,0,500
62000,-1143.291,0.4192,0.0731,2.125,0,500
62500,-228.837,0.3605,0.2734,8.32,0,500
63000,-174.832,0.2894,0.2712,5.164,0,500
63500,-1714.207,0.4792,-0.0409,2.017,0,500
64000,-394.444,0.4878,0.2547,2.596,0,500
64500,-403.528,0.4891,0.2429,2.461,0,500
65000,-375.915,0.4739,0.2603,2.951,0,500
65500,-1063.354,0.4755,0.1214,5.081,0,500
